student_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
1,3,1,2,4,1,1,1,1,2,3,1,2,1,2,2,1
2,2,1,3,2,4,3,3,2,1,1,3,2,2,4,3,4
3,4,1,2,4,1,1,1,1,1,1,2,2,4,1,2,4
4,2,4,4,3,1,1,2,2,1,3,3,3,4,1,4,2
5,2,1,4,1,2,2,1,1,2,4,1,1,1,4,2,2
6,1,2,3,2,1,2,1,4,3,3,3,4,3,1,1,1
7,3,4,2,3,4,2,2,2,3,1,1,2,2,4,1,1
8,2,2,4,2,1,3,3,2,2,3,4,2,2,2,3,1
9,4,2,1,1,4,1,2,2,1,4,2,4,1,1,1,1
10,4,4,1,2,1,1,2,4,1,1,3,2,2,2,2,2
11,1,2,1,2,2,3,2,2,2,1,3,1,2,3,2,2
12,1,4,1,2,1,4,1,2,2,2,2,1,3,1,4,2
13,4,4,4,1,2,4,1,4,4,4,2,4,2,2,1,2
14,4,4,3,3,2,1,1,1,4,3,3,4,3,3,2,4
15,2,1,2,2,3,1,1,2,3,2,2,1,3,2,1,3
16,2,1,2,3,1,1,3,4,1,4,2,4,1,2,2,4
17,3,2,4,1,1,2,3,1,4,2,1,1,4,4,3,3
18,2,2,1,1,4,3,2,3,1,2,1,2,2,2,2,2
19,2,2,2,4,2,3,4,3,1,4,3,1,4,4,2,4
20,1,2,4,2,1,4,2,2,1,2,1,1,1,4,1,3
21,2,3,4,1,3,4,1,2,2,2,4,2,2,1,2,4
22,3,2,2,3,2,1,1,4,3,4,2,4,1,2,2,3
23,3,1,4,2,1,4,2,1,1,1,3,3,3,1,2,2
24,1,3,1,1,4,2,2,1,2,1,3,1,4,2,2,3
25,2,4,1,4,4,1,3,1,3,2,1,2,1,1,1,1
26,4,1,3,2,4,4,2,1,1,3,1,1,4,4,3,1
27,2,2,4,4,4,1,4,1,4,4,2,1,4,3,2,3
28,5,6,6,6,6,6,5,5,5,6,6,6,5,5,6,6
29,5,6,6,5,6,6,5,5,6,6,5,6,6,6,6,6
30,5,5,6,5,5,5,6,5,6,5,6,6,5,5,5,6
31,3,2,1,1,1,1,4,1,3,1,1,2,1,4,1,2
32,4,1,4,4,4,4,4,3,4,2,4,2,4,1,1,4
33,2,4,2,3,3,3,2,1,3,4,2,2,2,4,4,2
34,1,3,3,1,3,3,3,2,2,1,4,1,4,1,2,3
35,3,3,3,2,1,3,3,2,4,4,3,2,1,1,2,4
36,2,1,2,1,2,1,3,2,4,3,1,3,1,1,3,2
37,3,2,2,3,3,2,2,1,2,1,2,4,1,4,1,3
38,1,1,2,1,2,2,2,4,3,4,1,2,4,4,4,1
39,1,4,2,2,3,4,1,1,2,1,3,2,2,3,2,4
40,4,1,1,4,2,3,2,2,1,1,2,1,2,1,1,2
41,4,1,1,3,2,3,1,4,3,3,1,3,1,1,2,1
42,2,4,3,4,2,2,2,2,1,4,2,1,4,1,2,3
43,1,2,4,3,3,3,2,1,4,1,4,3,3,2,4,1
44,1,4,1,3,2,4,2,3,4,4,2,4,1,4,2,3
45,3,1,2,1,4,1,2,1,4,2,2,3,1,4,2,2
46,3,1,4,2,2,2,4,2,4,1,2,2,2,1,1,2
47,2,4,2,1,1,3,2,2,1,2,4,4,2,4,4,3
48,1,3,1,2,2,3,3,4,1,1,3,2,3,1,2,1
49,1,2,4,2,1,1,3,2,2,1,4,3,1,4,2,2
50,1,3,3,1,2,4,4,3,2,1,1,3,1,4,2,3
51,4,2,1,1,2,2,1,3,2,3,2,2,2,4,2,1
52,2,2,3,3,4,3,1,4,2,1,2,2,4,1,2,1
53,1,4,2,2,4,1,1,4,2,3,1,4,4,2,1,1
54,2,4,4,3,1,2,2,3,2,1,4,2,2,4,4,4
55,1,4,3,2,2,4,4,2,2,3,3,1,1,1,2,4
56,2,3,3,1,2,1,2,2,2,1,1,2,1,1,1,2
57,1,2,3,2,3,1,2,2,4,1,2,3,3,3,3,2
58,4,2,1,2,4,1,2,3,2,3,1,4,1,1,1,1
59,4,1,1,2,2,2,2,4,1,2,4,4,3,3,3,2
60,4,3,1,2,4,3,4,3,2,2,2,1,2,2,4,1
61,1,3,3,4,4,4,1,4,3,2,2,4,2,2,1,3
62,3,4,4,4,2,2,1,4,4,2,1,2,4,4,1,3
63,1,3,4,2,1,2,2,4,3,1,4,1,2,2,2,2
64,2,2,2,4,1,4,2,2,2,4,3,2,4,2,3,2
65,2,1,2,1,2,3,4,1,2,1,1,4,3,1,2,3
66,1,1,1,4,2,2,1,4,2,3,4,1,3,4,4,2
