game_id,student_id,happy,angry,sad,time
1,3,2,3,4,19.13
2,3,3,2,1,19.37
3,4,4,3,4,21.0
4,1,4,2,1,20.98
5,3,3,3,1,21.21
6,4,1,2,1,20.03
7,4,0,1,3,21.39
8,1,2,2,2,19.16
9,2,3,2,3,16.09
10,4,2,2,3,19.51
11,3,3,2,2,23.18
12,5,1,1,0,22.85
13,2,4,1,2,17.41
14,2,3,4,1,18.68
15,3,2,1,1,20.36
16,1,3,3,4,21.97
17,1,1,4,2,20.36
18,4,0,1,4,19.18
19,5,4,1,4,18.91
20,5,0,0,4,18.6
21,5,0,1,2,21.2
22,2,0,1,0,19.79
23,1,2,4,2,18.64
24,2,2,1,3,18.62
25,2,2,2,1,23.37
26,5,3,0,3,21.28
27,3,1,3,2,18.78
28,3,3,2,1,20.16
29,1,4,4,3,17.49
30,5,1,1,0,18.73
