game_id,student_id,happy,angry,sad,time
<<<<<<< Updated upstream
1,6,2,1,1,18.21
2,1,1,2,1,19.43
3,5,1,2,1,19.39
4,22,1,2,1,20.02
5,23,2,1,1,20.24
6,24,1,2,1,20.62
7,19,2,1,1,20.69
8,2,1,2,1,19.33
9,2,1,1,2,20.44
10,26,2,1,1,18.4
11,9,2,1,1,18.11
12,22,2,1,1,20.71
13,27,1,1,2,17.14
14,11,1,2,1,21.15
15,11,1,1,2,20.52
16,15,1,2,1,18.89
17,8,1,2,1,21.86
18,6,1,1,2,18.94
19,22,1,2,1,20.11
20,2,1,1,2,20.46
21,14,1,2,1,20.24
22,5,1,2,1,18.75
23,7,2,1,1,17.65
24,26,1,1,2,18.29
25,2,2,1,1,17.55
26,20,1,2,1,20.85
27,16,1,2,1,20.5
28,1,1,1,2,22.29
29,12,2,1,1,20.65
=======
1,81,1,1,0,12.88
2,85,1,0,0,13.70
3,38,0,1,0,12.32
4,16,0,1,0,16.50
5,41,1,0,0,17.65
6,64,1,0,0,12.64
7,93,1,0,0,14.83
8,17,1,1,0,12.26
9,70,1,0,0,15.52
10,39,1,0,0,14.23
11,58,1,0,0,15.60
12,76,0,0,1,19.42
13,76,0,0,1,16.96
14,14,1,0,0,11.55
15,76,1,0,0,18.10
16,30,1,0,0,16.69
17,28,1,0,0,18.90
18,59,0,0,0,8.98
19,31,1,0,0,13.46
20,32,1,0,0,14.34
21,76,0,0,0,13.50
22,92,1,0,0,19.08
23,8,1,0,0,11.44
24,63,0,0,0,18.91
25,61,1,1,0,16.33
26,71,1,0,0,13.90
27,17,1,0,0,10.32
28,27,1,0,0,16.51
29,46,1,0,0,15.33
30,58,1,0,0,17.08
31,57,1,0,0,9.22
32,19,1,0,0,12.71
33,85,1,0,0,5.67
34,96,1,0,1,12.52
35,25,0,0,0,18.29
36,51,1,0,0,17.62
37,89,1,0,0,14.21
38,78,1,0,0,13.56
39,85,1,0,0,13.89
40,97,1,0,0,16.28
41,23,1,0,0,11.98
42,89,1,1,0,11.28
43,25,1,0,0,16.90
44,92,1,0,0,19.02
45,15,1,0,0,14.15
46,8,1,0,0,16.72
47,61,1,0,0,17.42
48,14,1,0,0,11.62
49,23,1,0,0,16.18
50,47,1,0,0,10.06
51,97,1,0,0,22.55
52,63,1,1,0,14.29
53,58,1,0,0,11.35
54,94,1,0,0,16.70
55,33,1,0,0,11.23
56,38,0,0,0,8.79
57,78,1,0,0,14.31
58,66,1,0,0,16.43
59,68,1,0,0,6.22
60,69,0,0,0,15.49
61,96,1,0,0,12.48
62,75,1,0,1,18.46
63,23,1,1,0,14.43
64,28,1,0,0,7.72
65,52,1,0,0,12.62
66,97,0,0,0,12.67
67,55,1,1,0,10.23
68,74,1,0,0,14.61
69,43,1,0,0,12.85
70,50,1,0,0,16.47
71,31,1,0,0,9.53
72,82,0,0,0,15.33
73,7,1,0,0,20.84
74,78,1,0,0,15.95
75,24,1,0,1,15.09
76,72,1,0,0,6.76
77,10,1,0,1,11.41
78,61,1,0,0,11.32
79,69,1,0,0,16.70
80,63,1,0,0,13.74
81,29,1,0,0,12.54
82,1,1,0,0,10.67
83,28,1,0,0,19.49
84,70,1,0,0,15.04
85,62,1,0,1,15.80
86,1,0,0,0,13.51
87,2,1,0,0,15.32
88,54,1,0,0,13.26
89,47,1,0,0,15.50
90,10,1,0,0,11.17
91,63,1,0,0,15.20
92,91,1,0,0,10.69
93,96,0,0,0,14.80
94,28,1,0,0,13.04
95,30,1,0,1,12.18
96,72,1,0,0,14.10
97,98,1,1,0,12.79
98,41,1,1,0,11.81
99,75,1,0,0,14.62
100,23,1,0,1,13.41
101,73,1,0,1,14.35
102,29,1,0,0,12.72
103,62,1,0,0,16.69
104,38,0,0,0,13.84
105,22,1,0,0,14.27
106,79,1,0,0,11.72
107,42,1,0,1,13.16
108,90,1,0,0,16.55
109,74,1,0,0,18.70
110,55,1,0,1,7.21
111,23,1,0,0,12.99
112,65,1,1,1,12.87
113,3,1,0,0,21.49
114,60,1,0,0,12.32
115,43,1,0,0,13.07
116,55,1,0,0,12.43
117,8,1,0,0,18.13
118,93,1,1,0,13.04
119,22,1,0,0,12.20
120,50,0,0,1,10.82
121,9,0,0,1,14.14
122,32,1,0,0,18.46
123,3,1,0,0,18.85
124,39,1,0,0,15.86
125,17,1,0,0,13.80
126,28,1,0,0,12.85
127,34,1,0,0,14.27
128,38,1,0,0,11.62
129,42,1,1,0,12.12
130,7,1,0,0,13.64
131,6,1,0,0,14.54
132,81,1,0,1,18.18
133,67,0,0,0,16.38
134,47,1,0,0,6.09
135,91,1,0,0,16.87
136,58,1,0,0,12.50
137,10,1,0,0,20.22
138,5,1,0,0,17.82
139,59,1,1,1,14.84
140,97,1,0,0,14.03
141,44,1,0,0,13.90
142,5,1,0,0,15.83
143,42,1,0,0,14.99
144,30,0,0,0,14.29
145,84,1,0,0,11.07
146,73,1,0,0,15.41
147,83,1,1,0,12.81
148,5,1,0,0,14.67
149,26,0,0,0,13.58
150,79,1,1,0,15.17
151,82,1,0,0,15.28
152,49,1,0,0,11.34
153,25,1,0,0,14.13
154,48,1,1,0,12.51
155,74,1,0,0,17.02
156,11,1,0,0,14.24
157,96,1,1,0,18.80
158,1,1,0,0,14.05
159,5,1,0,0,11.06
160,42,1,0,0,12.66
161,61,1,1,0,20.36
162,90,0,0,0,7.05
163,10,1,0,0,14.96
164,50,1,1,0,11.45
165,10,1,1,0,15.86
166,41,1,0,0,8.68
167,39,1,0,0,13.36
168,68,1,0,0,11.05
169,52,0,0,0,14.85
170,15,1,0,0,10.02
171,62,1,0,0,11.33
172,86,1,0,1,18.43
